time,EG,EU,GU
2020-08-20 01:35:00,0.9038200000000001,1.18358,1.30946
2020-08-20 01:36:00,0.9037700000000001,1.18345,1.30939
2020-08-20 01:37:00,0.9037799999999999,1.18368,1.30961
2020-08-20 01:38:00,0.90376,1.18364,1.30961
2020-08-20 01:39:00,0.90375,1.18379,1.30979
2020-08-20 01:40:00,0.9037,1.18387,1.3099
2020-08-20 01:41:00,0.90369,1.18373,1.30976
2020-08-20 01:42:00,0.90374,1.18389,1.30988
2020-08-20 01:43:00,0.9037700000000001,1.18384,1.30978
2020-08-20 01:44:00,0.9037299999999999,1.1839,1.30991
2020-08-20 01:45:00,0.90375,1.18393,1.30986
2020-08-20 01:46:00,0.90374,1.18384,1.30979
2020-08-20 01:47:00,0.90376,1.18382,1.30976
2020-08-20 01:48:00,0.90379,1.18383,1.30969
2020-08-20 01:49:00,0.9038,1.18374,1.30963
2020-08-20 01:50:00,0.90397,1.18411,1.30979
2020-08-20 01:51:00,0.9040100000000001,1.18422,1.30985
2020-08-20 01:52:00,0.9040299999999999,1.18416,1.30979
2020-08-20 01:53:00,0.904,1.18402,1.30967
2020-08-20 01:54:00,0.90404,1.18405,1.30959
2020-08-20 01:55:00,0.90407,1.18417,1.30969
2020-08-20 01:56:00,0.90405,1.18414,1.30969
2020-08-20 01:57:00,0.90409,1.18438,1.30989
2020-08-20 01:58:00,0.9041600000000001,1.18434,1.30979
2020-08-20 01:59:00,0.9041799999999999,1.1843,1.30968
2020-08-20 02:00:00,0.90415,1.18439,1.30985
2020-08-20 02:01:00,0.9042,1.18428,1.30968
2020-08-20 02:02:00,0.90423,1.18427,1.30959
2020-08-20 02:03:00,0.90427,1.18434,1.30966
2020-08-20 02:04:00,0.9042600000000001,1.18432,1.30963
2020-08-20 02:05:00,0.90428,1.18434,1.30963
2020-08-20 02:06:00,0.90428,1.18432,1.30959
2020-08-20 02:07:00,0.90428,1.1843,1.30955
2020-08-20 02:08:00,0.9042899999999999,1.18437,1.3096
2020-08-20 02:09:00,0.90427,1.18428,1.30957
2020-08-20 02:10:00,0.90425,1.18426,1.30957
2020-08-20 02:11:00,0.90425,1.18422,1.30949
2020-08-20 02:12:00,0.90423,1.18434,1.30967
2020-08-20 02:13:00,0.9042399999999999,1.18425,1.30956
2020-08-20 02:14:00,0.9042100000000001,1.18419,1.30957
2020-08-20 02:15:00,0.9042100000000001,1.18414,1.30952
2020-08-20 02:16:00,0.9042600000000001,1.18418,1.30944
2020-08-20 02:17:00,0.9043,1.18414,1.30935
2020-08-20 02:18:00,0.90438,1.18389,1.30895
2020-08-20 02:19:00,0.9043899999999999,1.18401,1.30906
